y,x,street_count,highway,junction,geometry
19.0842923,72.8364003,4,,,POINT (72.8364003 19.0842923)
19.0841253,72.8379677,4,traffic_signals,,POINT (72.8379677 19.0841253)
19.0845814,72.8391861,4,,,POINT (72.8391861 19.0845814)
19.0845607,72.8398892,3,,,POINT (72.8398892 19.0845607)
19.0845189,72.8345287,4,traffic_signals,,POINT (72.8345287 19.0845189)
19.0849554,72.8430101,3,,,POINT (72.8430101 19.0849554)
19.0848682,72.8439847,3,,,POINT (72.8439847 19.0848682)
19.0848684,72.8448086,3,,,POINT (72.8448086 19.0848684)
19.0848472,72.8322352,4,traffic_signals,,POINT (72.8322352 19.0848472)
19.0853673,72.8380325,3,,,POINT (72.8380325 19.0853673)
19.0855774,72.8364006,4,,,POINT (72.8364006 19.0855774)
19.0856626,72.8354565,3,,,POINT (72.8354565 19.0856626)
19.0864801,72.8445695,3,,,POINT (72.8445695 19.0864801)
19.0865777,72.8355226,3,,,POINT (72.8355226 19.0865777)
19.086613,72.8364024,3,,,POINT (72.8364024 19.086613)
19.0866836,72.8380764,3,,,POINT (72.8380764 19.0866836)
19.086845,72.8345637,3,,,POINT (72.8345637 19.086845)
19.0875228,72.8344414,4,,,POINT (72.8344414 19.0875228)
19.0882918,72.8357108,1,,,POINT (72.8357108 19.0882918)
19.0881109,72.841391,4,,,POINT (72.841391 19.0881109)
19.0885172,72.8399581,3,,,POINT (72.8399581 19.0885172)
19.0884846,72.8394428,3,,,POINT (72.8394428 19.0884846)
19.0880933,72.8342995,3,,,POINT (72.8342995 19.0880933)
19.0885235,72.8381542,3,,,POINT (72.8381542 19.0885235)
19.0890285,72.8410137,3,,,POINT (72.8410137 19.0890285)
19.0891665,72.8414857,3,,,POINT (72.8414857 19.0891665)
19.0891909,72.8418633,3,,,POINT (72.8418633 19.0891909)
19.0873874,72.8272431,3,,,POINT (72.8272431 19.0873874)
19.0874335,72.826721,1,,,POINT (72.826721 19.0874335)
19.0898171,72.8419187,3,,,POINT (72.8419187 19.0898171)
19.0897212,72.836611,3,,,POINT (72.836611 19.0897212)
19.0897215,72.8382367,4,traffic_signals,,POINT (72.8382367 19.0897215)
19.0900558,72.8382746,3,,,POINT (72.8382746 19.0900558)
19.0897134,72.835684,4,,,POINT (72.835684 19.0897134)
19.0901479,72.8406008,3,,,POINT (72.8406008 19.0901479)
19.0905165,72.8419974,4,,,POINT (72.8419974 19.0905165)
19.0903258,72.8435558,3,,,POINT (72.8435558 19.0903258)
19.0904204,72.8334235,4,,,POINT (72.8334235 19.0904204)
19.093289,72.8471981,1,,,POINT (72.8471981 19.093289)
19.0931238,72.8504931,3,,,POINT (72.8504931 19.0931238)
19.0937086,72.8412024,1,,,POINT (72.8412024 19.0937086)
19.0936596,72.8446347,3,,,POINT (72.8446347 19.0936596)
